,Unnamed: 0,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment,lang
2569,740,"RT kylegriffin1: NBC News: One of Italys most historic opera houses, Milans Teatro alla Scala, has replaced its Russian conductor becaus ",Russian,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2571,742,"RT AlanaFeral: Can I get people to report this tweet Yes, this is an old photo of me. No, Im not going to Ukraine. No, Im not the perso ",Ukraine,-0.1779,0.084,0.137,0,0,0,0,0,0,-1,en
2572,743,RT TheKalEl: Also Putin has that thing with Rosatom ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2574,745,RT Pokemon: Our hearts go out to the kids amp families of Ukraine https://t.co/vsZuQtYmX6 ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2575,746,SenWhitehouse Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian d https://t.co/mtyYjtCk0w ,Putin,-0.4019,0.123,0.262,Ukraine,0,0,0,0,0,-1,en
2576,747,RT JoePompliano: This is heartbreaking footage of the destruction in Ukraine. Hoping for the safety of all citizens that are caught in th ,Ukraine,-0.2732,0.179,0.214,0,0,0,0,0,0,-1,en
2577,748,Ukraine Russian attacks intensify Kyiv defenses holding. Update 1 3MARCH https://t.co/UOgoWjd3jm ,Ukraine,-0.296,0.135,0.23,Kyiv,Russian,Russia,0,0,0,-1,en
2578,749,RT AmySiskind: Former CIA Director John Brennan: I believe that Putins days in power are numbered. Maybe in the double digits. ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2579,750,RT JohnLaprise: Russian Major General Andrei Sukhovetsky killed by Ukrainians in blow to Putin https://t.co/I2tsYn8K0N ,Putin,-0.6705,0.0,0.243,Ukrainian,Russian,Russia,0,0,0,-1,en
2580,751,RT andersaslund: The Western world must stop Putin. We failed in Georgia in 2008. We failed in Syria. We failed in Ukraine in 2014. We mu ,Putin,-0.9022,0.0,0.355,Ukraine,0,0,0,0,0,-1,en
2583,754,"RT LucasFoxNews: Maj. Gen. Andrei Sukhovetsky, commanding general of the Russian 7th Airborne Division, killed in Ukraine: AP https://t.co… ",Ukraine,-0.6705,0.0,0.2,Russian,Russia,0,0,0,0,-1,en
2584,755,"RT FoxNews: RT America permanently shuts down US operations, lays off staff as RussiaUkraine crisis escalates https://t.co/arW4EQgEZL ",Ukraine,-0.6249,0.0,0.204,Russia,0,0,0,0,0,-1,en
2585,756,"RT OccupyDemocrats: BREAKING NEWS: In a major blow to Putin, Nike announces that it is closing all 116 stores that it has in Russia. RT IF ",Putin,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2587,758,"RT PedderSophie: It was Putin who called Macron today, according to the Elyse. The call lasted an hour and a half. Macron told Putin: yo ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2588,759,"Logical76659057 DmytroKuleba MFAUkraine Its because of racism and has nothing to do with India foreign policy, https://t.co/QduRta6ivQ ",Ukraine,-0.6249,0.0,0.204,0,0,0,0,0,0,-1,en
2589,760,"RT ezralevant: Imagine if Putin did this to a plane load of Canadians. What a shocking, illegal, thuggish act. Its tantamount to an act o ",Putin,-0.743,0.0,0.24,0,0,0,0,0,0,-1,en
2590,761,Jfcps2 paledot Hes afraid theyll find his stash in Ukraine ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2592,763,SimoneSays123 Putin draait niet door. https://t.co/3TR6865KPW ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2594,765,RT vwaire: We are all still in Ukraine. How can we leave SUMY We are scared Our parents are worried. Please help https://t.co/LpZRK4… ,Ukraine,-0.0772,0.171,0.215,0,0,0,0,0,0,-1,en
2595,766,RT JackDetsch: Ukraines President Volodymyr Zelensky calls on allies to stop Russias attacks after shelling of Zaporizhzhia Nuclear Powe ,Ukraine,-0.6249,0.0,0.231,Zelensky,Russia,0,0,0,0,-1,en
2596,767,RT simaxis: Putins miscalculation on Ukraine .He thought he was facing the 200.000 Ukkranian army.He is facing 40 million Ukranians and th ,Putin,0.0,0.0,0.0,Ukraine,0,0,0,0,0,-1,en
2598,769,"maxseddon Cannot trust Putin, no matter what ",Putin,-0.1813,0.308,0.279,0,0,0,0,0,0,-1,en
2599,770,RT OccupyDemocrats: BREAKING NEWS: Swedish furniture giant IKEA announces that it is suspending ALL of its operations in Russia in order t ,Russia,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2600,771,"RT NoLore: No limit of the number of applications Canada is accepting from Ukraine. And Afghanistan, where we meddled and fucked aroun ",Ukraine,-0.5719,0.137,0.232,0,0,0,0,0,0,-1,en
2601,772,RT BaraieRobab: If JCPOA gets signed well have the full view into JoeBidens Doctrine: Afghanistan abandoned Ukraine stranded Russ ,Ukraine,-0.2263,0.095,0.136,0,0,0,0,0,0,-1,en
2602,773,"According to U.S. officials speaking today, 100,000 Russia troops inside Ukraine (70 of its entire deployed fo https://t.co/dawF5YVcYa ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2603,774,Putin is trying to destroy a democratic European nation. Can we just look the other way https://t.co/hnvQhZXaUU ,Putin,-0.5423,0.0,0.189,0,0,0,0,0,0,-1,en
2604,775,"RT elonmusk: Important warning: Starlink is the only nonRussian communications system still working in some parts of Ukraine, so probabil ",Ukraine,-0.1531,0.081,0.108,Russian,Russia,0,0,0,0,-1,en
2605,776,"RT annytf: WE RAISED 68.000 FOR projecthopeorg FOR THE EMERGENCY IN UKRAINE THANK YOU SO MUCH EVERYONE WHO DONATED, THIS WAS MY FIRST ",Ukraine,-0.0258,0.117,0.121,0,0,0,0,0,0,-1,en
2606,777,"RT OccupyDemocrats: BREAKING: Fox News Laura Ingraham comes out against the seizing of Russian oligarchs superyachts, suggests that it m ",Russian,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2608,779,inezrussell How about you get persuaded on the Hunter Biden dealings in Ukraine Seems a little more relevant cons https://t.co/eTOMVsVWe5 ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2609,780,RT FoxNews: Ukrainianborn lawmaker says Biden financing Putins war by buying Russian oil https://t.co/AMyqKGyaVy ,Putin,-0.5994,0.0,0.231,Ukrainian,Russian,Russia,0,0,0,-1,en
2611,782,RT GooRee: BNONews Breaking: Russia remains closed to the world until it withdraws from Ukraine and pays reparations. ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2612,783,"RT TerranRich: GOP: Biden, dont force Putins hand Dont cause World War III by antagonizing Putin Dont do it, Biden Also GOP: Ye ",Putin,-0.4909,0.107,0.215,0,0,0,0,0,0,-1,en
2613,784,RT ramanathanb: Second round of UkraineRussia negotiations has started. https://t.co/XAjkFuUw77 ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2614,785,RT MSNBC: The U.S. military has established channels to communicate directly with the Russian military as a way to deconflict tactical mov ,Russian,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2615,786,RT blueheartedly: Who thinks Trump gave classified information to Putin ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2616,787,"RT olgatokariuk: Day nine of Russian invasion of Ukraine. Failing to achieve its goals in the ground combat, Russia is massacring civilian ",Ukraine,-0.6908,0.0,0.222,Russian,Russia,0,0,0,0,-1,en
2617,788,RT DavidYankovich: Dont allow anyone to forget: POTUS told the world what Putins intentions were for Ukraine. Was mocked for month ,Putin,-0.5948,0.0,0.246,Ukraine,0,0,0,0,0,-1,en
2618,789,CLBlackburn1 They are speaking about 2 things. 1. The war in Ukraine is a nessecity. 2.Almost all of them refusing https://t.co/M7nYHJma72 ,Ukraine,-0.765,0.0,0.28,0,0,0,0,0,0,-1,en
2619,790,RT CBSNews: Europe needs to wake up: Ukraine President Zelensky issues a dire plea to world powers as Europes largest nuclear power pla ,Ukraine,-0.4588,0.0,0.125,Zelensky,0,0,0,0,0,-1,en
2620,791,RT edolinsky: Ukrainian community in Toronto mourns the FightersHeroes of Ukraine from the Nazi SS Galizia Division who were destroyed ,Ukraine,-0.765,0.0,0.268,Ukrainian,0,0,0,0,0,-1,en
2621,792,"RT McFaul: Please listen to these oppressed Russians praising Putins war, which includes killing civilians and bombing a nuclear power ",Putin,-0.765,0.186,0.365,Russian,Russia,0,0,0,0,-1,en
2622,793,"RT ananavarro: Ukrainian refugees are pouring into neighboring countries, including NATO members. Theres a threat of a nuclear disaster ",Ukrainian,-0.8176,0.0,0.333,NATO,0,0,0,0,0,-1,en
2623,794,"RT KyivIndependent: Zelensky to Russia: Learn the word reparation. In the most recent video address, President Volodymyr Zelensky sai ",Kyiv,0.0,0.0,0.0,Zelensky,Russia,0,0,0,0,-1,en
2624,795,RT DanielSMorgan1: People should not be posting videos of Ukrainians in UKR making Molotov cocktails. It is dangerous. Reporters discussin ,Ukrainian,-0.4767,0.0,0.14,0,0,0,0,0,0,-1,en
2626,797,RT MrSinha: Nearly 20000 students have been evacuated from Ukraine Some 23 out of those 20k spoke against Modi govt One of those 23 ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2627,798,RT JackPosobiec: Has Lindsey Graham or any of these psychopaths even considered who would take over if Putin is assassinated Think beyo ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2628,799,RT RALee85: Russia is sustaining far higher casualties than in any of the previous wars under Putin and the Russian economy is suffering i ,Putin,-0.7717,0.0,0.242,Russian,Russia,0,0,0,0,-1,en
2629,800,"RT vonedison: ZelenskyyUa Professor Andrew Futter, British nuclear weapons expert We may be able to block the bombers, but most of Ru ",Zelensky,-0.4404,0.0,0.163,0,0,0,0,0,0,-1,en
2630,801,RT mehdirhasan: I pray for both ordinary Ukrainians and ordinary Russians who are both now suffering because of Putin the former from a ,Putin,-0.2023,0.094,0.127,Ukrainian,Russian,Russia,0,0,0,-1,en
2631,802,RT UNSPExperts: Ukraine: UN expert on racism calls on governments and humanitarian authorities for action following ongoing reports of ,Ukraine,-0.6249,0.0,0.186,0,0,0,0,0,0,-1,en
2632,803,RT SneMzilikazi: The propaganda and misinformation in this war is shocking Ukraine has their propaganda machine working overtime.. ,Ukraine,-0.8979,0.0,0.498,0,0,0,0,0,0,-1,en
2633,804,RT OstapYarysh: Is attack on Europes largest nuclear plant a sufficient threat to EU and NATO Or not yet UkraineRussianWar Ukraine ,Ukraine,-0.7579,0.0,0.265,NATO,Russian,Russia,UkraineRussianWar,0,0,-1,en
2634,805,"RT intosic: Air Raid sirens sounding in Kyiv, Ukraine ",Ukraine,0.0,0.0,0.0,Kyiv,0,0,0,0,0,-1,en
2635,806,RT ANI: WATCH Delhi: Prime Minister Narendra Modi chairs a meeting to review the Ukrainerelated situation. RussiaUkraineCrisis https… ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2637,808,"RT olexscherba: 33 dead civilians, 18 wounded after todays barbaric shelling of residential area in Chernihiv. Putins killing Ukrai ",Putin,-0.8658,0.0,0.339,0,0,0,0,0,0,-1,en
2639,810,"RT bobham88: We may be approaching the point where we need to calculate the risk of escalation if NATO intervenes in Ukraine, against the ",Ukraine,-0.2732,0.0,0.084,NATO,0,0,0,0,0,-1,en
2640,811,4 questions investors should ask as stocks react to escalating UkraineRussian war https://t.co/FnNJjd12Ja… https://t.co/EgE9hQffP7 ,Ukraine,-0.5994,0.0,0.245,Russian,Russia,0,0,0,0,-1,en
2641,812,RT KyivIndependent: Center for Defense Strategies: Russia will likely impose martial law on March 4. The Ukrainian think tank also expec ,Ukrainian,-0.1779,0.066,0.097,Kyiv,Russia,0,0,0,0,-1,en
2642,813,"RT olgatokariuk: Day nine of Russian invasion of Ukraine. Failing to achieve its goals in the ground combat, Russia is massacring civilian ",Ukraine,-0.6908,0.0,0.222,Russian,Russia,0,0,0,0,-1,en
2643,814,RT ggosden: Number of companies or individuals sanctioned for links to Putin: EU 446 Switzerland 351 USA 148 UK 24 Shameful ,Putin,-0.4404,0.055,0.136,0,0,0,0,0,0,-1,en
2644,815,RT NPR: Video shows Russian warships waiting off the coast of Crimea in the Black Sea. The U.S. said the landing force was headed toward O ,Russian,-0.128,0.0,0.059,Russia,0,0,0,0,0,-1,en
2645,816,"Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian deaths. POTUS, https://t.co/qsWfSERgZ0 ",Putin,-0.4019,0.117,0.249,Ukraine,0,0,0,0,0,-1,en
2647,818,RT polinaivanovva: Extraordinary comments from Putin just now. Says Russia has no ill intentions towards its neighbours and calls for ,Putin,-0.6124,0.0,0.217,Russia,0,0,0,0,0,-1,en
2648,819,RT IamGeci: Not invaders getting better hospitality than Africans in Ukraine ,Ukraine,-0.3412,0.0,0.194,0,0,0,0,0,0,-1,en
2651,822,RT ErAakThu: PR GONE WRONG Such publicity gimmicks are exposing Modi. Ukraine https://t.co/ocHzhqGw1O https://t.co/5tF8StKxqJ… ,Ukraine,-0.7125,0.0,0.331,0,0,0,0,0,0,-1,en
2652,823,RT olgatokariuk: One of the most chilling things for me is watching and reading comments by Russians to what their country is doing in Ukr ,Russian,-0.101,0.0,0.055,Russia,0,0,0,0,0,-1,en
2653,824,DmytroKuleba That bastard Putin will stop at nothing. ,Putin,-0.6908,0.0,0.487,0,0,0,0,0,0,-1,en
2654,825,"RT dim0kq: Dont let the world get silent about Russian invasion into Ukraine. As everyone will get busy with their stuff, Ukrainians wi ",Ukraine,0.0,0.0,0.0,Ukrainian,Russian,Russia,0,0,0,-1,en
2655,826,RT SenJohnKennedy: The Biden admin just gave Putin 18 BILLION via the IMF. I begged them not to do it. But they just forked the money o ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2657,828,"DeTocqueville14 The CIA probably has a Manchurian Candidate waiting to be activated, to take out Putin and install https://t.co/y720FH6RPy ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2659,830,RT KyivIndependent: The Times: Volodymyr Zelensky survives 3 assassination attempts in days. Two different groups have been sent to kill ,Kyiv,-0.8625,0.0,0.336,Zelensky,0,0,0,0,0,-1,en
2660,831,RT goldend55: Why are we funding both Russia and Ukraine Look past the trees and open your eyes to the forest. Wake up. Brandon ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2661,832,RT MetroUK: Read more about Elizabeths struggle to get out of Ukraine here https://t.co/1ip3tVIoIZ ,Ukraine,-0.3744,0.0,0.165,0,0,0,0,0,0,-1,en
2662,833,"RT RhonddaBryant: Following the invasion of Ukraine, the UK has imposed targeted sanctions on 34 individuals or entities. The EU has impos ",Ukraine,-0.0772,0.0,0.058,0,0,0,0,0,0,-1,en
2663,834,RT petcrierbonanza: The Economist after Russia invades Ukraine vs when NATO invades Afghanistan https://t.co/6Rtsb48w40 ,Ukraine,0.0,0.0,0.0,NATO,Russia,0,0,0,0,-1,en
2664,835,"JaneMontessori Ingridebap Of course he did. And so much more. He enabled Putin. Weakeneddivided US, alliances amp NATO. ",Putin,0.0,0.0,0.0,NATO,0,0,0,0,0,-1,en
2667,838,SenatorSinema DAVHQ Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civ https://t.co/2X0Hgy1QIJ ,Putin,-0.4019,0.117,0.249,Ukraine,NATO,0,0,0,0,-1,en
2668,839,RT SteveHiltonx: Putin told Xi Jinping he would invade Ukraine. Xi didnt ask him not to. he asked him to wait until after the Olympics t ,Putin,0.0,0.0,0.0,Ukraine,0,0,0,0,0,-1,en
2669,840,"SuzieWo20886208 NATO does not belong to Biden, it belongs to all member states, no one country has any more influe https://t.co/4CalZtph8x ",NATO,-0.296,0.0,0.099,0,0,0,0,0,0,-1,en
2671,842,RT davidzarn: When you will close your stores in Russia PlayStation Xbox Steam EpicGames FedorovMykhailo While children are being ki ,Russia,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2672,843,"RT MatthewKupfer: Many in Ukraine are calling for a no fly zone. Previously, Ive viewed this as risking nuclear war. Now, I think it w ",Ukraine,-0.8126,0.0,0.307,0,0,0,0,0,0,-1,en
2673,844,maytham956 Ukraine needs to give up quick ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2674,845,"RT castlvillageman: The EU did not invade Ukraine, the EU did not partition Ukraine.The EU did not blow up roads. The EU did not use troo ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2677,848,RT BeataSzydlo: As some EU countries are still hesitating about how to react to the Russian invasion of Ukraine Poland is doing all it c ,Ukraine,-0.34,0.0,0.094,Russian,Russia,0,0,0,0,-1,en
2678,849,RT DIUkraine: 24.02 04.03 : https://t.co/COs3LbWiJt ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2679,850,RT Gadhwara27: Ukraine The Entire staff of the Russian TV channel The rain resigned during a live stream with last words: no war and ,Ukraine,-0.7964,0.0,0.288,Russian,Russia,0,0,0,0,-1,en
2681,852,RT olgatokariuk: One of the most chilling things for me is watching and reading comments by Russians to what their country is doing in Ukr ,Russian,-0.101,0.0,0.055,Russia,0,0,0,0,0,-1,en
2682,853,SenBrianSchatz Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian https://t.co/5VgsibMztq ,Putin,-0.4019,0.123,0.262,Ukraine,0,0,0,0,0,-1,en
2685,856,RT sanghaviharsh: Honble PM Shri narendramodi ji chairs a meeting to review the Ukrainerelated situation. Taking every small and big s ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2686,857,"stephaniedhose VincentVQ This war is not only against Ukraine, it is Russias war with the whole world. STOP RUSS https://t.co/Aw3xvd801o ",Ukraine,-0.8941,0.0,0.387,Russia,0,0,0,0,0,-1,en
2687,858,RichardAngwin putin(X) ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2689,860,RT myroslavapetsa: Every captured Russian soldier repeats the same mantra saying he never knew he was actually going into Ukraine. These d ,Ukraine,0.0,0.0,0.0,Russian,Russia,0,0,0,0,-1,en
2690,861,"RT olgatokariuk: Day nine of Russian invasion of Ukraine. Failing to achieve its goals in the ground combat, Russia is massacring civilian ",Ukraine,-0.6908,0.0,0.222,Russian,Russia,0,0,0,0,-1,en
2691,862,RT RichardHanania: The entire strategy of the government of Ukraine revolves around bringing the West into a larger war. One can sympathiz ,Ukraine,-0.5994,0.0,0.163,0,0,0,0,0,0,-1,en
2693,864,"RT TheTUC: BREAKING : Kent dockers have REFUSED to unload a tanker of Russian gas, forcing it to dock elsewhere, in solidarity with Uk ",Russian,-0.186,0.088,0.117,Russia,0,0,0,0,0,-1,en
2694,865,HelsinkiComm SenatorCardin RepCohen SenatorWicker RepJoeWilson OSCESMM Ukraine needs weapons and humanitaria https://t.co/GqXg45A8xj ,Ukraine,-0.4404,0.0,0.209,NATO,0,0,0,0,0,-1,en
2695,866,"RT MananaZoo: Ukrainian soldiers spot freezing puppy alone outside, and take him into their post. He stands guard for them now. Theyve na ",Ukrainian,-0.34,0.0,0.139,0,0,0,0,0,0,-1,en
2696,867,"RT ScooterCasterNY: Volunteers continue to train to take up arms and defend their homes and families as RussiaInvadesUkraine. Lviv, Ukra ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2697,868,RT justinhendrix: Ukraine says it was tipped of to a plot to send Chechen special forces to kill Zelensky... by someone inside the Russian ,Ukraine,-0.4588,0.095,0.165,Zelensky,Russian,Russia,0,0,0,-1,en
2698,869,RT KyivPost: Ukraines Zelensky accuses Russia of nuclearterror after plant attack Ukrainian President Volodymyr Zelensky accuses Mo ,Ukraine,-0.7845,0.0,0.361,Ukrainian,Kyiv,Zelensky,Russia,0,0,-1,en
2699,870,RT kylegriffin1: NATO SecretaryGeneral Jens Stoltenberg says that NATO has seen the use of cluster bombs by Russia in Ukraine. NBCNews ,Ukraine,0.0,0.0,0.0,NATO,Russia,0,0,0,0,-1,en
2700,871,"RT gregmyre1: The US official said the pace for sending weapons to Ukraine has picked up dramatically. It used to take weeks or months, ",Ukraine,-0.4404,0.0,0.112,0,0,0,0,0,0,-1,en
2701,872,"RT KyivIndependent: Lawmaker Shufrych detained by territorial defense, alleged of helping Russia. According to the 206 battalion of Ukr ",Kyiv,0.0,0.165,0.121,Russia,0,0,0,0,0,-1,en
2703,874,RT YourAnonNews: To the citizens of Russia: We are not your enemy. Your government is attacking a sovereign nation. Rise up To the soldi ,Russia,-0.0387,0.106,0.112,0,0,0,0,0,0,-1,en
2704,875,RT EnglishUkraine: Ukrainian refugees at the train station in Kyiv. Children cry because they dont know if they will ever see their paren ,Ukraine,-0.4767,0.0,0.124,Ukrainian,Kyiv,0,0,0,0,-1,en
2705,876,uaparliament NATO CLOSE THE SKY OVER UKRAINE EmmanuelMacron vonderleyen eucopresident EPEdinburgh https://t.co/3E0x2QY3xz ,Ukraine,0.0,0.0,0.0,NATO,0,0,0,0,0,-1,en
2707,878,RT JimmySecUK: Russian losses in Ukraine may be higher than even the most optimistic Ukrainian estimates. Here Russian Senator Lyudmila N ,Ukraine,-0.0276,0.111,0.116,Ukrainian,NATO,Russian,Russia,0,0,-1,en
2708,879,"RT KyivIndependent: Lawmaker Shufrych detained by territorial defense, alleged of helping Russia. According to the 206 battalion of Ukr ",Kyiv,0.0,0.165,0.121,Russia,0,0,0,0,0,-1,en
2709,880,"RT maozedongguilai: TheGreatTranslationMovement After the Russian army attacked the academy causing casualties, Chinese state ",Russian,-0.4588,0.0,0.188,Russia,0,0,0,0,0,-1,en
2710,881,SenatorHick Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian dea https://t.co/oGUdRmiPOT ,Putin,-0.4019,0.117,0.249,Ukraine,NATO,0,0,0,0,-1,en
2711,882,"RT SeanFraserMP: Canada will welcome Ukrainians fleeing Putins war. Today, I announced a new program that will cut through red tape and ",Putin,-0.4588,0.115,0.231,Ukrainian,0,0,0,0,0,-1,en
2713,884,Both NATO and Ukraine both seem to disagree with your petty tweet. https://t.co/2lktIVpeR6 ,Ukraine,-0.5267,0.0,0.286,NATO,0,0,0,0,0,-1,en
2714,885,RT ANI: The Ukraine situation has to be seen in the context of similar attempts that could be made by the Chinese PLA along our contested ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2715,886,RT DrBryanLeyva: Im seeing many attempts to try to silence folks who are calling out the racism at the UkrainePoland border: STOP. Ppl a ,Ukraine,-0.7925,0.0,0.251,0,0,0,0,0,0,-1,en
2716,887,SenJackReed Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian dea https://t.co/OsOYQiB9GE ,Putin,-0.4019,0.117,0.249,Ukraine,0,0,0,0,0,-1,en
2717,888,"RT Kasparov63: Biden amp others insist NATO would retaliate should Putin attack Baltic members. Watching Ukraine, I am not sure of that at a ",Putin,-0.6202,0.0,0.202,Ukraine,NATO,0,0,0,0,-1,en
2718,889,RT lesiavasylenko: With its decision NOT to introduce NoFlyZoneOverUkraine NATO signs the death sentence to the very concept of sovereig ,Ukraine,-0.5574,0.056,0.168,NATO,0,0,0,0,0,-1,en
2720,891,RT trussliz: The international community is rallying around Ukraine and isolating Russia. UNHRC has voted 322 to set up a Commission ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1,en
2721,892,"Over 25M has already been sent to Ukraine in Ether and Bitcoin. No intermediary, just a direct transfer of val https://t.co/tB3l8bE01z ",Ukraine,-0.296,0.0,0.104,0,0,0,0,0,0,-1,en
2722,893,TheChangfucius PutinUNHINGED MALIGNANT NARCISSIST INSANE SOCIOPATH Even MORE reason to be scared This isnt our https://t.co/9Qtax6ZkYi ,Putin,-0.7456,0.0,0.311,0,0,0,0,0,0,-1,en
2723,894,SenatorTester Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian d https://t.co/PbG40TcXAT ,Putin,-0.4019,0.123,0.262,Ukraine,NATO,0,0,0,0,-1,en
2724,895,There is no need to kill Putin. All that it takes to end this is one seniorish military leader not carrying out an https://t.co/VpuPlZrc6q ,Putin,-0.7845,0.0,0.239,0,0,0,0,0,0,-1,en
2725,896,"RT ukraineworld: Ukrainian soldier carries a baby in Irpin, a town near Kyiv. Photo by CNN StopRussianAggression https://t.co/wm6XtrXH… ",Ukraine,0.0,0.0,0.0,Ukrainian,Kyiv,Russian,Russia,0,0,-1,en
2726,897,RT AVindman: Passing forward from my Ukraine civilsociety contacts. https://t.co/gKG5zlV05d ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2728,899,"RT ParacelsusDoc: World is distracted by RussiaUkraine, so now you will see more bureaucrats admit what they knew all along ",Ukraine,-0.0828,0.092,0.107,Russia,0,0,0,0,0,-1,en
2729,900,RT IndiaSpeaksPR: Ordinary Russians across the West are getting cancelled one by one but in a humane manner. Cancellers are saying Ou ,Russian,-0.128,0.0,0.07,Russia,0,0,0,0,0,-1,en
2733,904,RT joncoopertweets: Ukraine President Volodymyr Zelenskyy has survived at least three assassination attempts in the past week. He must be ,Ukraine,-0.1531,0.131,0.155,Zelensky,0,0,0,0,0,-1,en
2734,905,RT IBM: IBM stands with Ukraine. Read the statement from IBM CEO Arvind Krishna: https://t.co/z49ksERAYX https://t.co/CDYpZm87OS ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2735,906,RonWyden Ukraine needs weapons and humanitarian assistance to defend against Putin. Stop innocent civilian deaths https://t.co/xRkTbA88GG ,Putin,-0.4019,0.117,0.249,Ukraine,0,0,0,0,0,-1,en
2736,907,RT EnglishUkraine: Ukrainian refugees at the train station in Kyiv. Children cry because they dont know if they will ever see their paren ,Ukraine,-0.4767,0.0,0.124,Ukrainian,Kyiv,0,0,0,0,-1,en
2739,910,RT JoeSarno4: Fear Of Donald Trump Kept Putin From Invading Ukraine. Heres How Trump Pulled It Off https://t.co/IUB1gsIJdA ,Putin,-0.4939,0.0,0.158,Ukraine,0,0,0,0,0,-1,en
2741,912,RT REMASCULATE: Remember when Ukraine was investigating Hunter Biden for illegal activity and Joe told them they wouldnt get MILLIONS if ,Ukraine,-0.5574,0.0,0.153,0,0,0,0,0,0,-1,en
2742,913,"polinaivanovva Except Putin also has said that Ukrainians are actually Russians, so logically by his reasoning, th https://t.co/Ed4b2Vymee ",Putin,0.0,0.0,0.0,Ukrainian,Russian,Russia,0,0,0,-1,en
2743,914,RT dstep65: Putin And the rest of the Regime How does it feel. https://t.co/Q7uvh3xDEC ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2745,916,"RT Moe69777: Again, I stand with Ukraine. I fight against lies and pro Putin Republicans. I stand with Ukraine. Do you https://t.co/pBE1J… ",Putin,-0.6597,0.0,0.241,Ukraine,0,0,0,0,0,-1,en
2746,917,CursedChildLDN harry potter stood with ukraine as early as 1 decade ago see here https://t.co/QXH1ejubmo ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2747,918,KochanyPrezio Putin co si z tob dzieje Ja pierdole on nie wie co robi ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1,en
2748,919,"RT GaleTStrong: Key U.S. provider of Internet to Russia is cutting service there, citing unprovoked invasion of Ukraine, sources ",Ukraine,-0.128,0.0,0.077,Russia,0,0,0,0,0,-1,en
2749,920,"RT JJaraczewski: Just received my first official Russian complaint about my tweets: Mr Jaraczevski, you forget that in 1939 Russia saved ",Russian,-0.0772,0.112,0.165,Russia,0,0,0,0,0,-1,en
2750,921,RT ImSpeaking13: Volodymyr Zelensky survived three assassination attempts in the past week. We need to protect him. Its critical for our ,Zelensky,-0.0772,0.203,0.213,0,0,0,0,0,0,-1,en
2751,922,RT realnikohouse: How Ukraines Jewish president Zelensky made peace with neoNazi paramilitaries on front lines of war with Russia https:… ,Ukraine,-0.1027,0.138,0.154,Zelensky,Russia,0,0,0,0,-1,en
